Operation, Code
LTC6953_ADEL0, 0xf55
LTC6953_ADEL1, 0x1355
LTC6953_ADEL2, 0x1755
LTC6953_ADEL3, 0x1b55
LTC6953_ADEL4, 0x1f55
LTC6953_ADEL5, 0x2355
LTC6953_ADEL6, 0x2755
LTC6953_ADEL7, 0x2b55
LTC6953_ADEL8, 0x2f55
LTC6953_ADEL9, 0x3355
LTC6953_ADEL10, 0x3755
LTC6953_DDEL0, 0xd3b
LTC6953_DDEL1, 0x113b
LTC6953_DDEL2, 0x153b
LTC6953_DDEL3, 0x193b
LTC6953_DDEL4, 0x1d3b
LTC6953_DDEL5, 0x213b
LTC6953_DDEL6, 0x253b
LTC6953_DDEL7, 0x293b
LTC6953_DDEL8, 0x2d3b
LTC6953_DDEL9, 0x313b
LTC6953_DDEL10, 0x353b
LTC6953_EZMD, 0xb40
LTC6953_FILTV, 0x210
LTC6953_INVSTAT, 0x170
LTC6953_MD0, 0xc22
LTC6953_MD1, 0x1022
LTC6953_MD2, 0x1422
LTC6953_MD3, 0x1822
LTC6953_MD4, 0x1c22
LTC6953_MD5, 0x2022
LTC6953_MD6, 0x2422
LTC6953_MD7, 0x2822
LTC6953_MD8, 0x2c22
LTC6953_MD9, 0x3022
LTC6953_MD10, 0x3422
LTC6953_MODE0, 0xd61
LTC6953_MODE1, 0x1161
LTC6953_MODE2, 0x1561
LTC6953_MODE3, 0x1961
LTC6953_MODE4, 0x1d61
LTC6953_MODE5, 0x2161
LTC6953_MODE6, 0x2561
LTC6953_MODE7, 0x2961
LTC6953_MODE8, 0x2d61
LTC6953_MODE9, 0x3161
LTC6953_MODE10, 0x3561
LTC6953_MP0, 0xc74
LTC6953_MP1, 0x1074
LTC6953_MP2, 0x1474
LTC6953_MP3, 0x1874
LTC6953_MP4, 0x1c74
LTC6953_MP5, 0x2074
LTC6953_MP6, 0x2474
LTC6953_MP7, 0x2874
LTC6953_MP8, 0x2c74
LTC6953_MP9, 0x3074
LTC6953_MP10, 0x3474
LTC6953_OINV0, 0xd40
LTC6953_OINV1, 0x1140
LTC6953_OINV2, 0x1540
LTC6953_OINV3, 0x1940
LTC6953_OINV4, 0x1d40
LTC6953_OINV5, 0x2140
LTC6953_OINV6, 0x2540
LTC6953_OINV7, 0x2940
LTC6953_OINV8, 0x2d40
LTC6953_OINV9, 0x3140
LTC6953_OINV10, 0x3540
LTC6953_PART, 0x38b3
LTC6953_PDALL, 0x270
LTC6953_PDVCOPK, 0x250
LTC6953_PD10, 0x551
LTC6953_PD9, 0x531
LTC6953_PD8, 0x511
LTC6953_PD7, 0x471
LTC6953_PD6, 0x451
LTC6953_PD5, 0x431
LTC6953_PD4, 0x411
LTC6953_PD3, 0x371
LTC6953_PD2, 0x351
LTC6953_PD1, 0x331
LTC6953_PD0, 0x311
LTC6953_POR, 0x200
LTC6953_REV, 0x38f3
LTC6953_SYSCT, 0xb21
LTC6953_SRQMD, 0xb30
LTC6953_SSRQ, 0xb00
LTC6953_SRQEN0, 0xd70
LTC6953_SRQEN1, 0x1170
LTC6953_SRQEN2, 0x1570
LTC6953_SRQEN3, 0x1970
LTC6953_SRQEN4, 0x1d70
LTC6953_SRQEN5, 0x2170
LTC6953_SRQEN6, 0x2570
LTC6953_SRQEN7, 0x2970
LTC6953_SRQEN8, 0x2d70
LTC6953_SRQEN9, 0x3170
LTC6953_SRQEN10, 0x3570
LTC6953_TEMPO, 0x570
LTC6953_nVCOOK, 0xb0
LTC6953_VCOOK, 0xa0
LTC6953_x, 0x166
